adl_id,city,state,date,Type,Nature,Perpetrator,Target,Location,cityID
6867,Aurora,CO,2018-11-01,Vandalism,General Antisemitism,Not Specified,Not Specified,In School,co-aurora
6867,Aurora,CO,2018-11-01,Vandalism,Oppression Connection,Not Specified,Not Specified,In School,co-aurora
6890,Aurora,CO,2018-11-01,Vandalism,Nazi,Not Specified,Not Specified,School Grounds,co-aurora
9622,Centennial,CO,2019-03-01,Harassment,General Antisemitism,Student,Student,Not Specified,co-centennial
6714,Cherry Hills Village,CO,2018-11-01,Harassment,General Antisemitism,Not Specified,Not Specified,In School,co-cherry hills village
10850,Englewood,CO,2019-11-01,Vandalism,Nazi,Not Specified,Not Specified,In School,co-englewood
1011,Greenwood Village,CO,2016-05-01,Vandalism,General Antisemitism,Not Specified,Not Specified,In School,co-greenwood village
9945,Greenwood Village,CO,2019-09-01,Cyberbullying,Nazi,Student,Not Specified,Social Media,co-greenwood village
1326,Littleton,CO,2016-10-01,Harassment,General Antisemitism,Student,Student,Not Specified,co-littleton
3071,Littleton,CO,2017-11-01,Harassment,General Antisemitism,Student,Student,Not Specified,co-littleton
306,Boulder,CO,2016-09-01,Harassment,General Antisemitism,Student,Student,Social Media,co-boulder
308,Boulder,CO,2016-12-01,Harassment,Nazi,Student,Student,Not Specified,co-boulder
3058,Boulder,CO,2017-09-01,Harassment,General Antisemitism,Student,Student,Not Specified,co-boulder
5710,Boulder,CO,2018-03-01,Harassment,General Antisemitism,Student,Student,In School,co-boulder
3036,Longmont,CO,2017-04-01,Harassment,General Antisemitism,Student,Student,Not Specified,co-longmont
749,Denver,CO,2016-11-01,Vandalism,Nazi,Not Specified,Not Specified,In School,co-denver
730,Denver,CO,2016-12-01,Harassment,General Antisemitism,Student,Student,In School,co-denver
3021,Denver,CO,2017-01-01,Harassment,Nazi,Student,Not Specified,In School,co-denver
3021,Denver,CO,2017-01-01,Harassment,Nazi,Student,Not Specified,Social Media,co-denver
3042,Denver,CO,2017-05-01,Harassment,General Antisemitism,Student,Student,Not Specified,co-denver
3065,Denver,CO,2017-10-01,Harassment,General Antisemitism,Student,Student,In School,co-denver
9503,Denver,CO,2019-01-01,Harassment,General Antisemitism,Student,Student,Not Specified,co-denver
10196,Denver,CO,2019-04-01,Vandalism,Nazi,Not Specified,Not Specified,School Grounds,co-denver
10259,Denver,CO,2019-05-01,Vandalism,Nazi,Not Specified,Not Specified,School Grounds,co-denver
9950,Denver,CO,2019-09-01,Harassment,General Antisemitism,Student,Student,School Event,co-denver
9987,Denver,CO,2019-10-01,Harassment,General Antisemitism,Student,Student,Not Specified,co-denver
1326,Littleton,CO,2016-10-01,Harassment,General Antisemitism,Student,Student,Not Specified,co-littleton
3071,Littleton,CO,2017-11-01,Harassment,General Antisemitism,Student,Student,Not Specified,co-littleton
3024,Eagle,CO,2017-02-01,Harassment,Nazi,Student,Student,In School,co-eagle
3024,Eagle,CO,2017-02-01,Harassment,General Antisemitism,Student,Student,Social Media,co-eagle
3024,Eagle,CO,2017-02-01,Harassment,Money,Student,Student,Social Media,co-eagle
3029,Eagle,CO,2017-03-01,Harassment,General Antisemitism,Student,Student,Not Specified,co-eagle
10375,Colorado Springs,CO,2019-07-01,Vandalism,Nazi,Not Specified,Not Specified,School Grounds,co-colorado springs
10375,Colorado Springs,CO,2019-07-01,Vandalism,Oppression Connection,Not Specified,Not Specified,School Grounds,co-colorado springs
92,Arvada,CO,2016-04-01,Harassment,General Antisemitism,Student,Student,In School,co-arvada
651,Conifer,CO,2016-11-01,Harassment,General Antisemitism,Not Specified,Student,In School,co-conifer
3023,Conifer,CO,2017-01-01,Harassment,General Antisemitism,Not Specified,Not Specified,In School,co-conifer
6939,Conifer,CO,2018-11-01,Vandalism,Nazi,Not Specified,Not Specified,In School,co-conifer
9949,Conifer,CO,2019-09-01,Vandalism,Nazi,Not Specified,Not Specified,School Grounds,co-conifer
3030,Lakewood,CO,2017-03-01,Harassment,Nazi,Student,Not Specified,Not Specified,co-lakewood
3030,Lakewood,CO,2017-03-01,Harassment,Oppression Connection,Student,Not Specified,Not Specified,co-lakewood
1326,Littleton,CO,2016-10-01,Harassment,General Antisemitism,Student,Student,Not Specified,co-littleton
3071,Littleton,CO,2017-11-01,Harassment,General Antisemitism,Student,Student,Not Specified,co-littleton
6030,Wheat Ridge,CO,2018-05-01,Harassment,General Antisemitism,Student,Student,Not Specified,co-wheat ridge
6540,Fort Collins,CO,2018-10-01,Harassment,General Antisemitism,Student,Student,Not Specified,co-fort collins
6541,Fort Collins,CO,2018-10-01,Harassment,General Antisemitism,Student,Student,Not Specified,co-fort collins
6712,Fort Collins,CO,2018-11-01,Harassment,General Antisemitism,Student,Not Specified,In School,co-fort collins
6711,Fort Collins,CO,2018-11-01,Harassment,General Antisemitism,Student,Student,Not Specified,co-fort collins
3020,Aspen,CO,2017-01-01,Harassment,General Antisemitism,Not Specified,Student,Not Specified,co-aspen
2367,Steamboat Springs,CO,2016-11-01,Vandalism,Nazi,Not Specified,Student,In School,co-steamboat springs
834,Erie,CO,2016-05-01,Harassment,General Antisemitism,Student,Teacher,In School,co-erie
6843,Darien,CT,2018-11-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ct-darien
10448,Darien,CT,2019-09-01,Vandalism,General Antisemitism,Not Specified,Not Specified,In School,ct-darien
10448,Darien,CT,2019-09-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ct-darien
10447,Darien,CT,2019-09-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ct-darien
10498,Darien,CT,2019-10-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ct-darien
10837,Darien,CT,2019-11-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ct-darien
11955,New Canaan,CT,2019-09-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ct-new canaan
10830,Norwalk,CT,2019-10-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ct-norwalk
3088,Ridgefield,CT,2017-03-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ct-ridgefield
3107,Ridgefield,CT,2017-09-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ct-ridgefield
3119,Ridgefield,CT,2017-11-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ct-ridgefield
3115,Stamford,CT,2017-10-01,Vandalism,Nazi,Not Specified,Student,In School,ct-stamford
6715,Trumbull,CT,2018-11-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ct-trumbull
6103,Westport,CT,2018-06-01,Harassment,General Antisemitism,Student,Student,School Event,ct-westport
7068,Westport,CT,2018-12-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ct-westport
10445,Westport,CT,2019-09-01,Vandalism,General Antisemitism,Not Specified,Not Specified,In School,ct-westport
10445,Westport,CT,2019-09-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ct-westport
3110,Wilton,CT,2017-10-01,Vandalism,Nazi,Student,Not Specified,In School,ct-wilton
3117,Wilton,CT,2017-10-01,Harassment,Nazi,Not Specified,Student,In School,ct-wilton
3122,Farmington,CT,2017-12-01,Harassment,General Antisemitism,Student,Student,Not Specified,ct-farmington
10851,Glastonbury,CT,2019-11-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ct-glastonbury
3092,Newington,CT,2017-05-01,Harassment,General Antisemitism,Student,Student,Not Specified,ct-newington
11732,Southington,CT,2019-04-01,Harassment,Nazi,Student,Student,In School,ct-southington
3073,West Hartford,CT,2017-01-01,Vandalism,Nazi,Not Specified,Not Specified,School Grounds,ct-west hartford
3081,West Hartford,CT,2017-02-01,Bomb Threat,General Antisemitism,Not Specified,School,In School,ct-west hartford
6713,West Hartford,CT,2018-11-01,Vandalism,General Antisemitism,Not Specified,Student,In School,ct-west hartford
6713,West Hartford,CT,2018-11-01,Harassment,Nazi,Not Specified,Student,In School,ct-west hartford
10073,Salisbury,CT,2019-02-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ct-salisbury
5755,Cromwell,CT,2018-03-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ct-cromwell
10072,Cromwell,CT,2019-02-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ct-cromwell
9623,Cromwell,CT,2019-03-01,Performance,Nazi,Student,Student,Not Specified,ct-cromwell
1566,Middletown,CT,2016-11-01,Harassment,General Antisemitism,Not Specified,Not Specified,Off-Campus,ct-middletown
1566,Middletown,CT,2016-11-01,Harassment,Oppression Connection,Not Specified,Not Specified,Off-Campus,ct-middletown
3082,Amity,CT,2017-03-01,Harassment,General Antisemitism,Not Specified,Not Specified,In School,ct-amity
9991,Guilford,CT,2019-10-01,Harassment,Nazi,Student,Student,Not Specified,ct-guilford
5828,Hamden,CT,2018-04-01,Harassment,General Antisemitism,Student,Student,Not Specified,ct-hamden
5828,Hamden,CT,2018-04-01,Harassment,Holocaust Denial,Student,Student,Not Specified,ct-hamden
9625,Hamden,CT,2019-03-01,Vandalism,Nazi,Not Specified,Student,In School,ct-hamden
10444,Hamden,CT,2019-09-01,Vandalism,General Antisemitism,Not Specified,Not Specified,In School,ct-hamden
10444,Hamden,CT,2019-09-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ct-hamden
3080,New Haven,CT,2017-02-01,Vandalism,Nazi,Student,Not Specified,In School,ct-new haven
9827,Wallingford,CT,2019-06-01,Cyberbullying,General Antisemitism,Student,Student,Social Media,ct-wallingford
2689,Woodbridge,CT,2016-06-01,Harassment,General Antisemitism,Student,Student,In School,ct-woodbridge
6846,Woodbridge,CT,2018-11-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ct-woodbridge
3128,Washington,DC,2017-03-01,Vandalism,Nazi,Not Specified,Not Specified,In School,dc-washington
3137,Washington,DC,2017-08-01,Vandalism,General Antisemitism,Not Specified,Not Specified,School Grounds,dc-washington
5975,Washington,DC,2018-05-01,Harassment,General Antisemitism,Student,Not Specified,In School,dc-washington
6664,Washington,DC,2018-10-01,Vandalism,Nazi,Not Specified,Not Specified,In School,dc-washington
7577,Washington,DC,2018-11-01,Vandalism,Nazi,Not Specified,Not Specified,In School,dc-washington
9677,Washington,DC,2019-03-01,Cyberbullying,Nazi,Student,Not Specified,Social Media,dc-washington
949,Gainesville,FL,2016-11-01,Vandalism,Nazi,Not Specified,Not Specified,In School,fl-gainesville
9628,Gainesville,FL,2019-03-01,Harassment,Nazi,Student,Student,Not Specified,fl-gainesville
3188,Coral Springs,FL,2017-01-01,Harassment,Nazi,Student,Student,In School,fl-coral springs
5533,Coral Springs,FL,2018-01-01,Cyberbullying,Nazi,Student,Outsider,Social Media,fl-coral springs
5533,Coral Springs,FL,2018-01-01,Performance,Nazi,Student,Outsider,Social Media,fl-coral springs
3199,Davie,FL,2017-02-01,Bomb Threat,General Antisemitism,Not Specified,School,In School,fl-davie
3205,Davie,FL,2017-03-01,Bomb Threat,General Antisemitism,Not Specified,School,In School,fl-davie
11940,Davie,FL,2019-09-01,Vandalism,Nazi,Not Specified,Student,In School,fl-davie
896,Fort Lauderdale,FL,2016-01-01,Harassment,General Antisemitism,Crowd,Student,School Event,fl-fort lauderdale
5796,Parkland,FL,2018-04-01,Harassment,General Antisemitism,Not Specified,Student,Social Media,fl-parkland
2644,Weston,FL,2016-04-01,Harassment,General Antisemitism,Not Specified,Student,Social Media,fl-weston
9764,Weston,FL,2019-05-01,Harassment,Nazi,Student,Not Specified,Social Media,fl-weston
1149,Jacksonville,FL,2016-04-01,Vandalism,Israel,Not Specified,Student,School Grounds,fl-jacksonville
12193,Jacksonville,FL,2019-12-01,Harassment,General Antisemitism,Student,Student,In School,fl-jacksonville
3242,Jacksonville Beach,FL,2017-10-01,Harassment,General Antisemitism,Student,Student,In School,fl-jacksonville beach
9762,Brooksville,FL,2019-05-01,Harassment,Nazi,Student,Student,In School,fl-brooksville
3222,Spring Hill,FL,2017-05-01,Harassment,General Antisemitism,Student,Student,Not Specified,fl-spring hill
6885,Tampa,FL,2018-11-01,Vandalism,Nazi,Not Specified,Not Specified,In School,fl-tampa
457,Cape Coral,FL,2016-05-01,Harassment,General Antisemitism,Student,Student,Not Specified,fl-cape coral
2415,Tallahassee,FL,2016-12-01,Performance,Nazi,Student,Not Specified,Not Specified,fl-tallahassee
3198,Tallahassee,FL,2017-02-01,Harassment,General Antisemitism,Student,Student,Not Specified,fl-tallahassee
6770,Tallahassee,FL,2018-11-01,Harassment,General Antisemitism,Student,Student,Not Specified,fl-tallahassee
319,Bradenton,FL,2016-04-01,Harassment,General Antisemitism,Student,Student,In School,fl-bradenton
6974,Stuart,FL,2018-12-01,Harassment,Nazi,Student,Student,Not Specified,fl-stuart
6596,Aventura,FL,2018-10-01,Vandalism,Nazi,Not Specified,Not Specified,In School,fl-aventura
680,Cutler Bay,FL,2016-04-01,Harassment,General Antisemitism,Teacher,Student,In School,fl-cutler bay
680,Cutler Bay,FL,2016-04-01,Harassment,General Antisemitism,Student,Student,In School,fl-cutler bay
1190,Kendall,FL,2016-02-01,Harassment,General Antisemitism,Student,Student,Not Specified,fl-kendall
1546,Miami,FL,2016-05-01,Harassment,General Antisemitism,Student,Student,In School,fl-miami
1546,Miami,FL,2016-05-01,Harassment,Oppression Connection,Student,Student,In School,fl-miami
3195,Miami,FL,2017-02-01,Harassment,General Antisemitism,Not Specified,Not Specified,In School,fl-miami
6476,Miami,FL,2018-09-01,Vandalism,Nazi,Not Specified,Not Specified,In School,fl-miami
6461,Miami Beach,FL,2018-09-01,Vandalism,Nazi,Not Specified,School,School Grounds,fl-miami beach
1446,Maitland,FL,2016-01-01,Bomb Threat,General Antisemitism,Not Specified,School,In School,fl-maitland
1855,Orlando,FL,2016-01-01,Harassment,General Antisemitism,Student,Student,In School,fl-orlando
3216,Orlando,FL,2017-03-01,Harassment,General Antisemitism,Not Specified,Student,In School,fl-orlando
3243,Orlando,FL,2017-10-01,Harassment,General Antisemitism,Student,Teacher,In School,fl-orlando
3246,Orlando,FL,2017-10-01,Harassment,General Antisemitism,Student,Student,Not Specified,fl-orlando
9698,Winter Park,FL,2019-04-01,Harassment,General Antisemitism,Not Specified,Student,Not Specified,fl-winter park
12041,Winter Park,FL,2019-10-01,Performance,Nazi,Student,Not Specified,In School,fl-winter park
1202,Kissimmee,FL,2016-03-01,Cyberbullying,General Antisemitism,Not Specified,Not Specified,Social Media,fl-kissimmee
1944,Boca Raton,FL,2016-02-01,Harassment,General Antisemitism,Student,Student,Not Specified,fl-boca raton
266,Boca Raton,FL,2016-04-01,Harassment,General Antisemitism,Not Specified,Not Specified,In School,fl-boca raton
268,Boca Raton,FL,2016-09-01,Vandalism,General Antisemitism,Not Specified,Not Specified,In School,fl-boca raton
269,Boca Raton,FL,2016-10-01,Harassment,Nazi,Student,Student,Not Specified,fl-boca raton
269,Boca Raton,FL,2016-10-01,Vandalism,Nazi,Student,Student,Not Specified,fl-boca raton
3190,Boca Raton,FL,2017-02-01,Harassment,Nazi,Not Specified,Student,Social Media,fl-boca raton
3190,Boca Raton,FL,2017-02-01,Harassment,General Antisemitism,Not Specified,Student,Social Media,fl-boca raton
3190,Boca Raton,FL,2017-02-01,Harassment,Money,Not Specified,Student,Social Media,fl-boca raton
7124,Boca Raton,FL,2018-12-01,Vandalism,Nazi,Not Specified,Not Specified,In School,fl-boca raton
7066,Boca Raton,FL,2018-12-01,Vandalism,Nazi,Not Specified,Not Specified,In School,fl-boca raton
9877,Boca Raton,FL,2019-07-01,Harassment,General Antisemitism,Student,Student,Social Media,fl-boca raton
12131,Boca Raton,FL,2019-12-01,Harassment,General Antisemitism,Student,Student,Not Specified,fl-boca raton
3193,Boynton Beach,FL,2017-02-01,Harassment,General Antisemitism,Not Specified,Student,In School,fl-boynton beach
1178,Jupiter,FL,2016-03-01,Harassment,Nazi,Student,Student,In School,fl-jupiter
3262,Jupiter,FL,2017-12-01,Harassment,General Antisemitism,Student,Student,In School,fl-jupiter
3225,Lantana,FL,2017-05-01,Vandalism,Nazi,Not Specified,Not Specified,In School,fl-lantana
3225,Lantana,FL,2017-05-01,Vandalism,Oppression Connection,Not Specified,Not Specified,In School,fl-lantana
1423,Loxahatchee,FL,2016-03-01,Harassment,Nazi,Student,Not Specified,Not Specified,fl-loxahatchee
1876,Palm Beach,FL,2016-12-01,Vandalism,Nazi,Not Specified,Not Specified,In School,fl-palm beach
1878,Palm Beach Gardens,FL,2016-01-01,Bomb Threat,General Antisemitism,Not Specified,School,In School,fl-palm beach gardens
1879,Palm Beach Gardens,FL,2016-04-01,Harassment,General Antisemitism,Not Specified,Student,Not Specified,fl-palm beach gardens
3261,Palm Beach Gardens,FL,2017-11-01,Harassment,General Antisemitism,Not Specified,Student,Not Specified,fl-palm beach gardens
12171,Palm Beach Gardens,FL,2019-12-01,Harassment,General Antisemitism,Student,Student,Not Specified,fl-palm beach gardens
3239,Wellington,FL,2017-10-01,Harassment,General Antisemitism,Not Specified,Student,In School,fl-wellington
2625,West Palm Beach,FL,2016-02-01,Harassment,General Antisemitism,Not Specified,Student,Social Media,fl-west palm beach
2630,West Palm Beach,FL,2016-10-01,Harassment,General Antisemitism,Student,Student,In School,fl-west palm beach
2630,West Palm Beach,FL,2016-10-01,Harassment,General Antisemitism,Student,Student,Social Media,fl-west palm beach
11783,Holiday,FL,2019-05-01,Bomb Threat,Nazi,Student,School,In School,fl-holiday
11783,Holiday,FL,2019-05-01,Vandalism,Nazi,Student,School,In School,fl-holiday
3222,Spring Hill,FL,2017-05-01,Harassment,General Antisemitism,Student,Student,Not Specified,fl-spring hill
1202,Kissimmee,FL,2016-03-01,Cyberbullying,General Antisemitism,Not Specified,Not Specified,Social Media,fl-kissimmee
1966,Ponte Vedra Beach,FL,2016-01-01,Harassment,General Antisemitism,Not Specified,Student,Social Media,fl-ponte vedra beach
48,Altamonte Springs,FL,2016-12-01,Vandalism,Nazi,Not Specified,Not Specified,In School,fl-altamonte springs
1066,Daytona Beach,FL,2016-01-01,Harassment,General Antisemitism,Student,Not Specified,In School,fl-daytona beach
456,Canton,GA,2016-10-01,Harassment,General Antisemitism,Student,Student,In School,ga-canton
1502,Marietta,GA,2016-11-01,Harassment,General Antisemitism,Student,Student,In School,ga-marietta
1502,Marietta,GA,2016-11-01,Harassment,Nazi,Student,Student,In School,ga-marietta
3297,Marietta,GA,2017-04-01,Harassment,Money,Student,Student,Not Specified,ga-marietta
5813,Marietta,GA,2018-04-01,Harassment,General Antisemitism,Student,Student,Not Specified,ga-marietta
9700,Marietta,GA,2019-04-01,Harassment,General Antisemitism,Not Specified,Student,In School,ga-marietta
3290,Augusta,GA,2017-03-01,Harassment,General Antisemitism,Not Specified,Student,Not Specified,ga-augusta
3290,Augusta,GA,2017-03-01,Harassment,Nazi,Not Specified,Student,Not Specified,ga-augusta
3288,Cumming,GA,2017-03-01,Harassment,Nazi,Not Specified,Student,Not Specified,ga-cumming
44,Alpharetta,GA,2016-02-01,Vandalism,Nazi,Student,Student,In School,ga-alpharetta
44,Alpharetta,GA,2016-02-01,Harassment,Nazi,Student,Student,In School,ga-alpharetta
44,Alpharetta,GA,2016-02-01,Performance,Nazi,Student,Student,In School,ga-alpharetta
46,Alpharetta,GA,2016-10-01,Harassment,General Antisemitism,Student,Student,Not Specified,ga-alpharetta
9555,Alpharetta,GA,2019-02-01,Harassment,Nazi,Student,Student,In School,ga-alpharetta
111,Atlanta,GA,2016-10-01,Harassment,General Antisemitism,Student,Student,Not Specified,ga-atlanta
118,Atlanta,GA,2016-11-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ga-atlanta
3305,Atlanta,GA,2017-08-01,Performance,Nazi,Student,Not Specified,Social Media,ga-atlanta
3305,Atlanta,GA,2017-08-01,Cyberbullying,Nazi,Student,Not Specified,Social Media,ga-atlanta
3308,Atlanta,GA,2017-08-01,Vandalism,Nazi,Not Specified,Teacher,In School,ga-atlanta
5619,Atlanta,GA,2018-02-01,Harassment,General Antisemitism,Student,Student,In School,ga-atlanta
1162,Johns Creek,GA,2016-03-01,Harassment,General Antisemitism,Not Specified,Student,Not Specified,ga-johns creek
1163,Johns Creek,GA,2016-05-01,Harassment,Nazi,Student,Not Specified,In School,ga-johns creek
1163,Johns Creek,GA,2016-05-01,Harassment,General Antisemitism,Student,Not Specified,School Grounds,ga-johns creek
1168,Johns Creek,GA,2016-12-01,Harassment,General Antisemitism,Student,Student,In School,ga-johns creek
1166,Johns Creek,GA,2016-12-01,Harassment,General Antisemitism,Not Specified,Student,In School,ga-johns creek
1166,Johns Creek,GA,2016-12-01,Harassment,Money,Not Specified,Student,In School,ga-johns creek
3280,Johns Creek,GA,2017-02-01,Harassment,General Antisemitism,Not Specified,Student,Not Specified,ga-johns creek
3289,Johns Creek,GA,2017-03-01,Vandalism,General Antisemitism,Not Specified,Not Specified,In School,ga-johns creek
3289,Johns Creek,GA,2017-03-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ga-johns creek
3295,Johns Creek,GA,2017-04-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ga-johns creek
3294,Johns Creek,GA,2017-04-01,Performance,Nazi,Student,Student,In School,ga-johns creek
3299,Johns Creek,GA,2017-05-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ga-johns creek
10080,Milton,GA,2019-02-01,Vandalism,Nazi,Not Specified,Teacher,In School,ga-milton
10078,Roswell,GA,2019-02-01,Vandalism,Nazi,Not Specified,Not Specified,School Grounds,ga-roswell
3281,Sandy Springs,GA,2017-02-01,Harassment,General Antisemitism,Student,Student,In School,ga-sandy springs
438,Cairo,GA,2016-01-01,Harassment,General Antisemitism,Student,Student,Not Specified,ga-cairo
439,Cairo,GA,2016-04-01,Harassment,General Antisemitism,Student,Not Specified,Social Media,ga-cairo
9699,Gwinnett County,GA,2019-04-01,Harassment,General Antisemitism,Student,Student,Not Specified,ga-gwinnett county
3286,Norcross,GA,2017-03-01,Harassment,General Antisemitism,Not Specified,Student,Not Specified,ga-norcross
3290,Augusta,GA,2017-03-01,Harassment,General Antisemitism,Not Specified,Student,Not Specified,ga-augusta
3290,Augusta,GA,2017-03-01,Harassment,Nazi,Not Specified,Student,Not Specified,ga-augusta
438,Cairo,GA,2016-01-01,Harassment,General Antisemitism,Student,Student,Not Specified,ga-cairo
439,Cairo,GA,2016-04-01,Harassment,General Antisemitism,Student,Not Specified,Social Media,ga-cairo
3327,Des Moines,IA,2017-11-01,Harassment,General Antisemitism,Not Specified,Student,Not Specified,ia-des moines
9511,Bettendorf,IA,2019-01-01,Harassment,Nazi,Student,Student,Not Specified,ia-bettendorf
9561,Bettendorf,IA,2019-02-01,Harassment,General Antisemitism,Student,Student,Not Specified,ia-bettendorf
6183,Coeur D'alene,ID,2018-06-01,Vandalism,Nazi,Not Specified,Not Specified,School Grounds,id-coeur d'alene
6183,Coeur D'alene,ID,2018-06-01,Vandalism,Oppression Connection,Not Specified,Not Specified,School Grounds,id-coeur d'alene
12039,Driggs,ID,2019-10-01,NA,NA,NA,NA,NA,id-driggs
9995,Driggs,ID,2019-10-01,Performance,General Antisemitism,Student,Not Specified,In School,id-driggs
9995,Driggs,ID,2019-10-01,Performance,Nazi,Student,Not Specified,In School,id-driggs
522,Chicago,IL,2016-05-01,Harassment,General Antisemitism,Student,Not Specified,In School,il-chicago
3351,Chicago,IL,2017-03-01,Vandalism,Nazi,Not Specified,Not Specified,School Grounds,il-chicago
3348,Chicago,IL,2017-03-01,Harassment,General Antisemitism,Student,Student,Not Specified,il-chicago
3346,Chicago,IL,2017-03-01,Bomb Threat,General Antisemitism,Not Specified,School,In School,il-chicago
6823,Chicago,IL,2018-11-01,Vandalism,Nazi,Not Specified,Student,In School,il-chicago
7019,Chicago,IL,2018-12-01,Harassment,General Antisemitism,Student,Teacher,In School,il-chicago
9557,Chicago,IL,2019-02-01,Harassment,General Antisemitism,Student,Student,Not Specified,il-chicago
9557,Chicago,IL,2019-02-01,Harassment,Nazi,Student,Student,Not Specified,il-chicago
9630,Chicago,IL,2019-03-01,Cyberbullying,Nazi,Student,Student,Social Media,il-chicago
10334,Chicago,IL,2019-06-01,Vandalism,General Antisemitism,Not Specified,Not Specified,In School,il-chicago
6277,Norridge,IL,2018-07-01,Vandalism,Nazi,Not Specified,Not Specified,In School,il-norridge
6755,Oak Park,IL,2018-11-01,Cyberbullying,Nazi,Not Specified,Student,Social Media,il-oak park
6844,Oak Park,IL,2018-11-01,Vandalism,General Antisemitism,Not Specified,Not Specified,In School,il-oak park
6844,Oak Park,IL,2018-11-01,Vandalism,Nazi,Not Specified,Not Specified,In School,il-oak park
6844,Oak Park,IL,2018-11-01,Vandalism,Oppression Connection,Not Specified,Not Specified,In School,il-oak park
9631,Orland Park,IL,2019-03-01,Harassment,General Antisemitism,Student,Student,Social Media,il-orland park
6896,River Forest,IL,2018-11-01,Vandalism,Nazi,Not Specified,Not Specified,In School,il-river forest
10377,Wilmette,IL,2019-07-01,Vandalism,General Antisemitism,Not Specified,School,In School,il-wilmette
10377,Wilmette,IL,2019-07-01,Bomb Threat,Nazi,Not Specified,School,In School,il-wilmette
10503,Wilmette,IL,2019-10-01,Vandalism,Nazi,Not Specified,Not Specified,In School,il-wilmette
6404,Antioch,IL,2018-09-01,Harassment,General Antisemitism,Student,Student,Social Media,il-antioch
9915,Grayslake,IL,2019-08-01,Harassment,Nazi,Teacher,Student,In School,il-grayslake
9702,Hawthorn Woods,IL,2019-04-01,Harassment,General Antisemitism,Student,Student,Not Specified,il-hawthorn woods
12301,Lake Zurich,IL,2019-12-01,Vandalism,Nazi,Not Specified,Not Specified,School Grounds,il-lake zurich
10132,Normal,IL,2019-03-01,Vandalism,Nazi,Not Specified,Not Specified,In School,il-normal
10132,Normal,IL,2019-03-01,Vandalism,Oppression Connection,Not Specified,Not Specified,In School,il-normal
12135,Plainfield,IL,2019-12-01,Harassment,Nazi,Student,Student,In School,il-plainfield
9509,Zionsville,IN,2019-01-01,Performance,Nazi,Student,Not Specified,Social Media,in-zionsville
6368,Floyds Knobs,IN,2018-08-01,Vandalism,Nazi,Not Specified,Not Specified,School Grounds,in-floyds knobs
6368,Floyds Knobs,IN,2018-08-01,Vandalism,Oppression Connection,Not Specified,Not Specified,School Grounds,in-floyds knobs
6474,Indianapolis,IN,2018-09-01,Vandalism,Nazi,Not Specified,Not Specified,In School,in-indianapolis
10027,Bloomington,IN,2019-01-01,Vandalism,General Antisemitism,Not Specified,Not Specified,In School,in-bloomington
10028,Bloomington,IN,2019-01-01,Vandalism,Nazi,Not Specified,Not Specified,In School,in-bloomington
10563,Mount Washington,KY,2019-05-01,NA,NA,NA,NA,NA,ky-mount washington
11774,Mount Washington,KY,2019-05-01,Harassment,General Antisemitism,Student,Student,In School,ky-mount washington
3405,Lexington,KY,2017-01-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ky-lexington
3407,Goshen,KY,2017-08-01,Vandalism,Nazi,Not Specified,Student,School Grounds,ky-goshen
6042,Baton Rouge,LA,2018-05-01,Harassment,General Antisemitism,Student,Student,In School,la-baton rouge
6042,Baton Rouge,LA,2018-05-01,Performance,Nazi,Student,Student,In School,la-baton rouge
6976,Westwego,LA,2018-12-01,Harassment,General Antisemitism,Student,Student,Not Specified,la-westwego
9633,Lafayette,LA,2019-03-01,Harassment,Nazi,Student,Student,In School,la-lafayette
10859,Lafayette,LA,2019-11-01,Harassment,Nazi,Not Specified,Student,Not Specified,la-lafayette
6788,New Orleans,LA,2018-11-01,Vandalism,Nazi,Student,Student,In School,la-new orleans
9707,New Orleans,LA,2019-04-01,Performance,Nazi,Student,Student,Not Specified,la-new orleans
9917,Eastham,MA,2019-08-01,Harassment,General Antisemitism,Student,Student,Not Specified,ma-eastham
10831,Great Barrington,MA,2019-10-01,Harassment,General Antisemitism,Student,Student,Not Specified,ma-great barrington
