adl_id,date,city,state,description
12163,12/1/19,Lawrence,NY,"A Jewish man shopping at Costco was called a ""fucking Jew"" and told ""the Nazis will fucking kill you"" by another customer."
12164,12/1/19,New York,NY,Individual received an anti-Semitic email at their place of business.
12165,12/1/19,Sarasota,FL,A Jewish genealogical website received a harassing and threatening anti-Semitic email to their general email account.
12166,12/1/19,Toluca Lake,CA,A Star of David with a swastika in the center was drawn on a freeway underpass at an intersection.
12167,12/1/19,Garden Grove,CA,Jewish student harassed on the basketball court by an opposing player.
12168,12/1/19,Los Angeles,CA,A student defaced school property with a swastika drawing.
12169,12/1/19,Northridge,CA,An apartment building was defaced with swastika graffiti.
12170,12/1/19,Northridge,CA,An apartment building was defaced with swastika graffiti.
12171,12/1/19,Palm Beach Gardens,FL,Jewish student at a high school was victim of verbal anti-Semitic harassment by a peer.
12172,12/1/19,Santa Monica,CA,A desk in a classroom at Santa Monica College was defaced with threatening anti-Semitic graffiti.
12173,12/1/19,Manchester,VT,A school desk was vandalized with a drawing of a swastika.
12174,12/1/19,Houston,TX,Holocaust denial messages were sent to a Holocaust museum's LinkedIn page.
12175,12/1/19,Austin,TX,"A sticker that read, ""Free Palestine, End the Occupation,"" was placed on the window of a car belonging to a student at a Jewish sorority at UT Austin."
12176,12/1/19,Parsippany-Troy Hills Township,NJ,A synagogue received an anti-Semitic conspiratorial email.
12177,12/1/19,Upper Saddle River,NJ,Students on a school bus traced swastikas into the condensation on the windows.
12178,12/1/19,Brooklyn,NY,"Jewish woman found a note on her door that read ""Nosy Jew."""
12179,12/1/19,Canon City,CO,Jewish employee harassed by co-worker making anti-Semitic comments.
12180,12/1/19,East Garden City,NY,Anti-Semitic voicemail left at a place of business.
12181,12/1/19,Foster City,CA,"A Jewish center received a call from someone who stated, ""Nobody cares about the Holocaust."""
12182,12/1/19,New York,NY,Individual in Inwood made an anti-Semitic remark.
12183,12/1/19,Los Angeles,CA,Business received a harassing and anti-Semitic phone call.
12184,12/1/19,Minneapolis,MN,"Synagogue received a letter that read ""Islam is Right About Jews,"" with quotes about killing Jews."
12185,12/1/19,New Rochelle,NY,"School officials at Albert Leonard Middle School reported that ""anti-Semitic language"" had been found written on the school playground."
12186,12/1/19,Houston,TX,A synagogue received a harassing phone call from an individual blaming Jews for starting wars.
